trial,lang,sentence,masked,repaired,idx1,idx2,orig1,orig2,exact,slotScore,anywhere,ordered,fluency_score,fluency_ok,fluency_reason,gen_ms,rep_ms,judge_ms,judge_model
1,en,"The sun rises slowly over the quiet valley, painting the sky with gentle colors.",The sun rises slowly over the quiet ____ painting the ____ with gentle colors.,The sun rises slowly over the quiet sea painting the horizon with gentle colors.,7,10,"valley,",sky,0,0,0,0,5,true,"Grammatically correct, fluent, and the repaired words fit naturally into the masked blanks.",5671,13397,7252,gpt-oss:20b
2,ko,나는 오늘 아침에 커피를 마시며 책을 읽고 내일 일정을 계획했다.,나는 ____ ____ 커피를 마시며 책을 읽고 내일 일정을 계획했다.,나는 아침에 따뜻한 커피를 마시며 책을 읽고 내일 일정을 계획했다.,1,2,오늘,아침에,0,0,0,0,5,true,문법적으로 맞고 자연스러운 표현,11211,11064,5971,gpt-oss:20b
3,en,"The cat slept on the warm, soft blanket beside the quiet window.","The cat slept on ____ warm, ____ blanket beside the quiet window.","The cat slept on a warm, soft blanket beside the quiet window.",4,6,the,soft,0,1,1,1,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fits the masked blanks.",9864,9645,4668,gpt-oss:20b
4,ko,나는 오늘 아침에 커피를 마시며 책을 읽고 창밖의 풍경을 바라보았다.,나는 오늘 아침에 커피를 ____ 책을 ____ 창밖의 풍경을 바라보았다.,나는 오늘 아침에 커피를 마시며 책을 읽으며 창밖의 풍경을 바라보았다.,4,6,마시며,읽고,0,1,0,0,5,true,"문법적으로 완전하고 자연스러운 표현이며, 빈칸에 ‘마시며’와 ‘읽으며’가 무리 없이 들어가 문장이 매끄럽게 연결됩니다.",13495,8361,6036,gpt-oss:20b
5,en,"The sun rises over the quiet valley, painting the sky with golden light.","The sun rises over the ____ valley, painting ____ sky with golden light.","The sun rises over the rolling valley, painting the sky with golden light.",5,8,quiet,the,0,1,0,0,5,true,"Grammatically correct, fluent, and the repair naturally fits the masked structure.",6003,11079,5076,gpt-oss:20b
6,ko,오늘 아침에 나는 커피 한 잔을 마시며 조용히 책을 읽었다.,오늘 아침에 ____ ____ 한 잔을 마시며 조용히 책을 읽었다.,오늘 아침에 뜨거운 커피 한 잔을 마시며 조용히 책을 읽었다.,2,3,나는,커피,0,1,0,0,5,true,문장이 자연스럽고 빈칸에 ‘뜨거운 커피’가 무리 없이 들어가며 문법적으로도 완전합니다.,14033,13216,5377,gpt-oss:20b
7,en,The cat slept on the warm rug beside the quiet window.,The cat slept on the ____ rug beside ____ quiet window.,The cat slept on the soft rug beside a quiet window.,5,8,warm,the,0,0,0,0,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fits the masked structure.",7469,3280,4290,gpt-oss:20b
8,ko,오늘은 햇살이 밝게 비추며 새들이 노래를 부르고 바람이 살랑살랑 불어와 사람들은 창문을 열고 웃는다.,오늘은 햇살이 밝게 ____ 새들이 노래를 부르고 바람이 살랑살랑 ____ 사람들은 창문을 열고 웃는다.,오늘은 햇살이 밝게 비추고 새들이 노래를 부르고 바람이 살랑살랑 불어 사람들은 창문을 열고 웃는다.,3,9,비추며,불어와,0,0,0,0,5,true,문법적으로 맞고 자연스럽다.,13272,11560,18479,gpt-oss:20b
9,en,The child runs quickly through the bright green field during the warm afternoon.,The child runs quickly through the ____ green ____ during the warm afternoon.,The child runs quickly through the tall green trees during the warm afternoon.,6,8,bright,field,0,0,0,0,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fits the masked structure.",7292,12927,5221,gpt-oss:20b
10,ko,나는 매일 아침 공원에서 산책하며 자연의 소리를 듣는다 그리고 새들의 노래를 들으며 마음이 편안해진다.,나는 매일 아침 ____ 산책하며 자연의 소리를 듣는다 ____ 새들의 노래를 들으며 마음이 편안해진다.,나는 매일 아침 조용히 산책하며 자연의 소리를 듣는다 그리고 새들의 노래를 들으며 마음이 편안해진다.,3,8,공원에서,그리고,0,1,0,0,4,true,문법은 맞고 자연스러우나 쉼표가 없어서 약간 어색,9467,24746,16821,gpt-oss:20b
11,en,The cat sat on the mat while the dog slept nearby.,The ____ sat on the mat ____ the dog slept nearby.,The cat sat on the mat while the dog slept nearby.,1,6,cat,while,1,2,1,1,5,true,"Grammatically correct, fluent, and the repaired sentence naturally completes the masked structure.",5768,4266,4770,gpt-oss:20b
12,ko,오늘은 비가 와서 길이 미끄럽고 사람들은 신발을 조심스럽게 신었다 그리고 모두가 걱정했다.,오늘은 ____ 와서 길이 미끄럽고 사람들은 ____ 조심스럽게 신었다 그리고 모두가 걱정했다.,오늘은 비가 와서 길이 미끄럽고 사람들은 비를 조심스럽게 신었다 그리고 모두가 걱정했다.,1,6,비가,신발을,0,1,0,0,2,false,‘비를 신다’는 자연스럽지 않음,12711,262600,15782,gpt-oss:20b
13,en,The small cat quietly watched the blue bird fly across the green field.,The small cat quietly watched the blue bird fly across the ____ ____,The small cat quietly watched the blue bird fly across the open sky.,11,12,green,field.,0,0,0,0,5,true,"Grammatically correct, fluent, and ""open sky"" naturally completes the two blanks.",5113,7331,4122,gpt-oss:20b
14,ko,나는 매일 아침에 일어나서 창문을 열고 신선한 공기를 마신다 그리고 차 한 잔을 마신다.,나는 매일 ____ ____ 창문을 열고 신선한 공기를 마신다 그리고 차 한 잔을 마신다.,나는 매일 아침에 바깥 창문을 열고 신선한 공기를 마신다 그리고 차 한 잔을 마신다.,2,3,아침에,일어나서,0,1,0,0,4,true,자연스러운 표현이지만 '바깥 창문'이 다소 어색,15822,169272,12203,gpt-oss:20b
15,en,The child runs through the meadow while birds sing above.,The child runs ____ the ____ while birds sing above.,The child runs across the field while birds sing above.,3,5,through,meadow,0,0,0,0,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fits the masked structure.",6979,6762,4650,gpt-oss:20b
16,ko,오늘 아침에 신선한 바람이 불어와 마음이 가벼워졌으며 따스한 햇살이 창문을 가득 채웠다.,오늘 아침에 신선한 바람이 ____ 마음이 가벼워졌으며 따스한 햇살이 창문을 가득 ____,오늘 아침에 신선한 바람이 불어와 마음이 가벼워졌으며 따스한 햇살이 창문을 가득 채웠다.,4,11,불어와,채웠다.,1,2,1,1,5,true,"문법적으로 올바르고 자연스러운 표현이며, 빈칸에 무리 없이 들어가며 의미가 일관됩니다.",16263,9817,6724,gpt-oss:20b
17,en,The child carefully placed the bright red ball on the green rug.,The child ____ placed ____ bright red ball on the green rug.,The child carefully placed a bright red ball on the green rug.,2,4,carefully,the,0,1,1,1,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fits the masked structure.",5047,4208,4680,gpt-oss:20b
19,en,"The sun rises over the quiet valley, bringing warmth to the sleepy town.","The sun ____ over the quiet valley, bringing warmth to the ____ town.","The sun rises over the quiet valley, bringing warmth to the sleepy town.",2,11,rises,sleepy,1,2,1,1,5,true,"Grammatically correct, fluent, and the repaired sentence naturally fits the masked structure.",6948,6016,4305,gpt-oss:20b
21,en,The curious cat chased the bright red ball across the quiet garden.,The curious cat chased the bright ____ ____ across the quiet garden.,The curious cat chased the bright blue butterfly across the quiet garden.,6,7,red,ball,0,0,0,0,5,true,"The repair is grammatically correct, fluent, and naturally fits the masked structure.",7522,6103,4075,gpt-oss:20b
22,ko,아침에 일어나서 물을 마시고 책을 읽으며 차를 마시고 오늘 계획을 세웠다.,아침에 일어나서 물을 마시고 책을 읽으며 차를 마시고 ____ 계획을 ____,아침에 일어나서 물을 마시고 책을 읽으며 차를 마시고 오늘의 계획을 세우고.,8,10,오늘,세웠다.,0,0,0,0,4,true,"문법적으로는 맞고, 빈칸에 자연스럽게 들어가지만 끝에 ‘세우고’가 연결형으로 끝나서 약간 어색함.",10735,13372,9940,gpt-oss:20b
23,en,The small bird perched on the branch and sang a gentle tune.,The small bird perched on the ____ and sang a gentle ____,The small bird perched on the branch and sang a gentle song.,6,11,branch,tune.,0,1,0,0,5,true,"Grammatically correct, fluent, and the repair naturally fits the masked sentence.",4931,4359,4345,gpt-oss:20b
24,ko,"오늘 아침에 커피를 마시며 책을 읽었고, 그때 친구가 전화를 걸어와서 이야기했다.","오늘 아침에 커피를 마시며 ____ 읽었고, 그때 친구가 전화를 ____ 이야기했다.","오늘 아침에 커피를 마시며 책을 읽었고, 그때 친구가 전화를 걸어 이야기했다.",4,9,책을,걸어와서,0,1,0,0,5,true,"문법적으로 올바르고 자연스러운 표현이며, 빈칸에 무리 없이 들어갑니다.",25424,8886,6538,gpt-oss:20b
25,en,The cat chased the mouse across the quiet garden slowly.,The cat chased the mouse ____ the quiet garden ____,The cat chased the mouse through the quiet garden silently.,5,9,across,slowly.,0,0,0,0,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fills both blanks with appropriate words.",6745,9132,5620,gpt-oss:20b
26,ko,"오늘은 비가 오고 있어, 그래서 길을 걷는 사람들은 우산을 들고 있다.","오늘은 비가 ____ 있어, 그래서 길을 걷는 사람들은 ____ 들고 있다.","오늘은 비가 많이 있어, 그래서 길을 걷는 사람들은 우산을 들고 있다.",2,8,오고,우산을,0,1,0,0,5,true,문법적으로 맞고 자연스러운 표현이며 빈칸에 무리 없이 들어감,10936,8356,6717,gpt-oss:20b
27,en,"The cat slept on the warm windowsill, unaware of the passing breeze.",The cat slept on the ____ ____ unaware of the passing breeze.,The cat slept on the warm blanket unaware of the passing breeze.,5,6,warm,"windowsill,",0,1,0,0,5,true,"The repair is grammatically correct, fluent, and naturally fits the two-word blank space.",6883,6096,4277,gpt-oss:20b
28,ko,오늘 아침에 신선한 바나나를 먹으며 상쾌한 기분으로 활기찬 하루를 시작했다.,오늘 아침에 ____ 바나나를 먹으며 상쾌한 기분으로 활기찬 하루를 ____,오늘 아침에 달콤한 바나나를 먹으며 상쾌한 기분으로 활기찬 하루를 보냈다.,2,9,신선한,시작했다.,0,0,0,0,5,true,"문법적으로 완전하고 자연스러운 표현이며, 빈칸에 '달콤한'과 '보냈다'가 무리 없이 들어가 문장이 매끄럽다.",17270,12071,6539,gpt-oss:20b
29,en,The cat sat on the mat and purred softly today.,The cat ____ on the mat and purred ____ today.,The cat sat on the mat and purred softly today.,2,8,sat,softly,1,2,1,1,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fits the masked structure.",7885,7632,4686,gpt-oss:20b
30,ko,오늘 아침에 나는 커피를 마시며 창밖을 바라보았다 그리고 새소리를 들으며 책을 읽었다.,____ 아침에 나는 커피를 마시며 창밖을 ____ 그리고 새소리를 들으며 책을 읽었다.,오늘 아침에 나는 커피를 마시며 창밖을 바라보며 그리고 새소리를 들으며 책을 읽었다.,0,6,오늘,바라보았다,0,1,0,0,4,true,문법은 맞고 자연스러움은 다소 중복이 있지만 무리 없이 들어감,8966,10146,14482,gpt-oss:20b
31,en,The cat chased the mouse across the quiet garden in the evening light.,The cat chased ____ mouse across the quiet garden in the ____ light.,The cat chased a mouse across the quiet garden in the soft light.,3,11,the,evening,0,0,0,0,5,true,"Grammatically correct, fluent, and the repaired sentence naturally fits the masked structure.",7357,10247,4706,gpt-oss:20b
32,ko,"오늘 아침에 나는 커피를 마시며 책을 읽었고, 창밖에는 새들이 노래했다.","오늘 ____ 나는 커피를 마시며 ____ 읽었고, 창밖에는 새들이 노래했다.","오늘 아침에 나는 커피를 마시며 책을 읽었고, 창밖에는 새들이 노래했다.",1,5,아침에,책을,1,2,1,1,5,true,"문법적으로 완전하고 자연스러운 표현이며, 빈칸에 무리 없이 들어가며 의미도 일관됩니다.",10081,10081,6047,gpt-oss:20b
33,en,"The child ran through the garden, chasing a bright blue kite.",The child ran ____ the ____ chasing a bright blue kite.,The child ran across the street chasing a bright blue kite.,3,5,through,"garden,",0,0,0,0,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fills the blanks in the masked frame.",6454,9145,5031,gpt-oss:20b
34,ko,오늘 아침에 나는 커피 한 잔을 마시며 조용히 책을 읽었다.,오늘 아침에 나는 ____ 한 잔을 마시며 조용히 ____ 읽었다.,오늘 아침에 나는 커피 한 잔을 마시며 조용히 책을 읽었다.,3,8,커피,책을,1,2,1,1,5,true,문법적으로 자연스럽고 빈칸에 무리 없이 들어감,10983,6241,6282,gpt-oss:20b
35,en,The cat sat on the mat and stared at the bright light.,The cat sat on the ____ and stared at the bright ____,The cat sat on the mat and stared at the bright star.,5,11,mat,light.,0,1,0,0,5,true,"Grammatically correct, fluent, and the replacements fit naturally into the masked sentence.",4769,11418,4049,gpt-oss:20b
36,ko,우리는 오늘 아침에 학교에 가서 수업을 들으며 점심을 먹고 친구와 이야기했다.,우리는 오늘 아침에 학교에 가서 ____ 들으며 점심을 먹고 ____ 이야기했다.,우리는 오늘 아침에 학교에 가서 음악을 들으며 점심을 먹고 서로 이야기했다.,5,9,수업을,친구와,0,0,0,0,5,true,문법적으로 맞고 자연스럽다,12966,14246,6809,gpt-oss:20b
37,en,The child happily played with a bright red ball under the sunny sky.,The child happily played with a ____ red ball under the ____ sky.,The child happily played with a bright red ball under the blue sky.,6,11,bright,sunny,0,1,0,0,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fills the blanks in the masked frame.",6442,3703,4762,gpt-oss:20b
38,ko,바람이 부는 저녁에 사람들은 모여 이야기를 나누며 서로를 따뜻하게 이해했다.,바람이 부는 저녁에 사람들은 모여 이야기를 나누며 ____ 따뜻하게 ____,바람이 부는 저녁에 사람들은 모여 이야기를 나누며 서로 따뜻하게 웃었다.,7,9,서로를,이해했다.,0,0,0,0,5,true,문장이 문법적으로 완전하고 자연스럽다. 빈칸에 '서로'와 '웃었다'가 무리 없이 들어가며 의미도 일관된다.,12838,28377,7540,gpt-oss:20b
39,en,The sun rises in the east and sets in the west every day.,The sun rises in the east and sets in ____ west every ____,The sun rises in the east and sets in the west every day.,9,12,the,day.,1,2,0,0,5,true,"The repaired sentence is grammatically correct, fluent, and naturally completes the masked structure.",4379,2639,5179,gpt-oss:20b
40,ko,"나는 오늘 아침에 커피를 마시며 책을 읽었고, 그때 부드러운 바람이 불었다.","나는 오늘 아침에 커피를 마시며 ____ 읽었고, 그때 부드러운 바람이 ____","나는 오늘 아침에 커피를 마시며 책을 읽었고, 그때 부드러운 바람이 창문을 열어 주었다.",5,10,책을,불었다.,0,1,0,0,5,true,"문법적으로 완전하고 자연스러운 표현이며, 빈칸에 무리 없이 들어가 있습니다.",11981,28391,13231,gpt-oss:20b
41,en,The cat chased the mouse through the quiet garden in bright sunlight.,The cat ____ the mouse through the quiet ____ in bright sunlight.,The cat chased the mouse through the quiet garden in bright sunlight.,2,8,chased,garden,1,2,1,1,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fits the masked structure.",6003,5868,4720,gpt-oss:20b
42,ko,"하늘이 파랗고 구름이 흰색이며 바람이 시원하게 부는 날, 이곳은 평화로운 산책로가 있는 작은 마을의 한가운데에 있다.","하늘이 파랗고 구름이 흰색이며 ____ 시원하게 부는 날, 이곳은 평화로운 ____ 있는 작은 마을의 한가운데에 있다.","하늘이 파랗고 구름이 흰색이며 바람이 시원하게 부는 날, 이곳은 평화로운 고요한 작은 마을의 한가운데에 있다.",4,10,바람이,산책로가,0,1,0,0,5,true,문법적으로 맞고 자연스러운 표현이며 빈칸에 무리 없이 들어감,27276,15130,7880,gpt-oss:20b
43,en,"The sun sets over the quiet valley, painting the sky with golden light.","The ____ ____ over the quiet valley, painting the sky with golden light.","The sun set over the quiet valley, painting the sky with golden light.",1,2,sun,sets,0,1,0,0,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fits the masked structure.",5824,7481,4241,gpt-oss:20b
44,ko,"나는 아침에 커피를 마시며 책을 읽었고, 그 후에는 친구와 함께 공원에서 산책했다.",나는 아침에 커피를 마시며 책을 ____ 그 후에는 친구와 함께 공원에서 ____,나는 아침에 커피를 마시며 책을 읽었다. 그 후에는 친구와 함께 공원에서 산책했다.,5,11,"읽었고,",산책했다.,0,1,0,0,5,true,"문법적으로 완전하고 자연스러운 표현이며, 빈칸에 무리 없이 들어가며 의미도 일관됩니다.",18455,8307,5031,gpt-oss:20b
45,en,The sun rises over the quiet valley as birds begin to sing.,The sun rises ____ ____ quiet valley as birds begin to sing.,The sun rises in a quiet valley as birds begin to sing.,3,4,over,the,0,0,0,0,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fits the masked structure.",6850,4406,5187,gpt-oss:20b
46,ko,바람이 부는 정원에서 꽃이 피고 새가 노래하며 사람은 웃는다 아름답다.,바람이 ____ 정원에서 꽃이 피고 새가 노래하며 사람은 ____ 아름답다.,바람이 부는 정원에서 꽃이 피고 새가 노래하며 사람은 그리 아름답다.,1,8,부는,웃는다,0,1,0,0,4,true,"문법적으로 맞고 자연스러운 표현이지만, '그리'가 다소 고어적이거나 문학적 느낌을 줄 수 있다.",12472,8353,13615,gpt-oss:20b
47,en,The child reads a book under the bright summer sky.,The child ____ a ____ under the bright summer sky.,The child found a treasure under the bright summer sky.,2,4,reads,book,0,0,0,0,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fits the masked structure.",4721,5434,4113,gpt-oss:20b
